id,date_short,party,party_2,name,sents
1,6/29/1972,Labour Party,labour,Mr. Wilson,"special drawing rights were a step in the right direction, but only a step. the problem will not be solved until there is a world currency independent of national treasuries and central banks. as long as there are vulnerable and unstable national currencies, to say nothing of reserve currencies, there can be no guarantee against the kind of hurricane we all felt last week."
2,2/29/1972,Labour Party,labour,Mr. Tam Dalyell,"he raises the question of the accepting houses. the white paper says:
the accepting houses were not informed by the bank of england that the sum of Â£42 million to be provided by the government would be subject to check by the independent accountants, because this check was essentially a matter of determining the exact sum to be paid by the government to rolls-royce, and the bank of england took the view that it was not a matter of such significance as to require them to draw it specifically to the attention of the accepting houses. 
the question that arises is as to the whole role of the bank of england in these difficult events."
3,2/13/1973,Labour Party,labour,Mr. Tam Dalyell,"that issue concerns the role of the bank of england. in the debate on 29th february 1972 i quoted the white paper on rolls-royce and the rb211, which said:
the accepting houses were not informed by the bank of england that the sum of Â£42 million to be provided by the government would he subject to check by the independent accountants, because this check was essentially a matter of determining the exact sum to be paid by the government to rolls-royce, and the bank of england took the view that it was not a matter of such significance as to require them to draw it specifically to the attention of the accepting houses. i then said:
the question that arises is as to the whole role of the bank of england in these difficult events."
4,3/12/1975,Labour Party,labour,Sir Brandon Rhys Williams,"where does the european fund fit in? and do we want the fund to be subject to political influence like the bank of england or the federal reserve board, or relatively independent like the bundesbank and sited away from a political centre? as regards the premises in luxembourg, i believe a single room has been taken so that the fund appears to be sited within the community, but it is operated in fact from the


bank for international settlements in basle."
5,2/25/1976,Conservative Party,conservative,Mr. Nelson,"if i correctly judge the enormity of the words and the allegations that my hon. friend put to the minister, he may be interested to comment on these words of the minister:
we question the view that the principles to be applied by the bank of england in assessing the adequacy of banks' capital are directly applicable to giro as if it were an independent bank."" [official report, standing committee b; c. 162.]"
6,2/25/1976,Conservative Party,conservative,Mr. Nelson,"if that is the case and to some extent this is recognised, by the publishing of separate accounts for the giro it seems to us that one is recognising that it is a separate entity, and that it should therefore be subject to the same rules, requirements and scrutiny as those operating in the private sector, and subject to the commercial constraints and requirements that the bank of england places on those banks in terms of the capital structure which they have to sustain. the minister of state said in committee:
we question the view that the principles to be applied by the bank of england in assessing the adequacy of banks' capital are directly applicable to giro as if it were an independent bank."" [official report, standing committee b; 10th february 1976, c. 162.]
under the proposed capital reconstruction giro will continue to have negative free capital resources that is to say, the public dividend capital of giro will be Â£3Â·7 million less than the accumulated deficit."
7,3/13/1978,Labour Party,labour,Mr. Davies,"as i see it, the hon. member was suggesting, on the one hand, that we must have a statute, which i think is quite unrealistic, and, on the other hand, that the bank of england should be independent in these matters. i do not see how the hon."
8,2/25/1976,Conservative Party,conservative,Sir George Young,"that is the argument which the financial secretary also used earlier this evening. more worrying is what was also said by the minister:
we question the view that the principles to be applied by the bank of england in assessing the adequacy of banks' capital are directly applicable to giro as if it were an independent bank."" [official report, standing committee b, 10th february 1976; cc. 158 “62.]
in making that comment the minister was, in part, withdrawing the assurance he gave us on second reading that competition with the banks would be fair."
9,2/19/1979,Labour Party,labour,Mr. John Ellis,"however, one learns along the way. my own sub-committee has dealt with many matters, including water authorities, the bank of england, cable and wireless, the independent broadcasting authority and even the tote. it has been a valuable experience looking at all those industries and getting some expertise in those areas."
10,4/7/1975,Conservative Party,conservative,Mr. Amery,"heath) attended, as circulated to ministers, read more like the old commonwealth conferences before the expansion of the commonwealth than like any federal or supranational organisation. it may well be that the sterling area, with its system of independent central banks banking their reserves voluntarily with one of their number, will be the next stage in a european monetary union. the european economic community is already 17 years old."
