,id,date_short,party,party_2,name,sents,categories,label_number
588,592,12/11/1996,Conservative,Conservative,Mr. Norman Lamont," far from being afraid, britain should welcome the opportunity to go it alone in monetary affairs and to set an example of what can be achieved with an independent bank of england and a competitive, deregulated economy, especially to create jobs for the unemployed.  the europeans support monetary union on the basis of politics, not economic analysis. i shall also be blunt.",Pro-independence,1
236,237,5/13/1992,Conservative,Conservative,Mr. Tim Renton,"i am not saying that this should happen because i believe that all its decisions and views are necessarily and invariably wise. that was clearly not so in the case of the bank of credit and commerce international. however, it is good sense to have some years of experience of an independent domestic central bank before taking the final decision on the european central bank.",Unrelated,2
1628,1635,10/14/2008,Conservative,Conservative,Mark Hoban,"we think that it is important to strengthen, rather than weaken, the independence of the bank of england. unlike the liberal democrats, we are not going to ditch the independence of the bank when the going gets tough.the conservatives believe that the bank of england's role in regulation could be strengthened too. that issue has been discussed by my hon.",Pro-independence,1
760,764,11/11/1997,Conservative,Conservative,Mr. Gibb," despite what the economic secretary said earlier, that does not mean giving the bank of england independence. there is not a hint in that phrase about a plan which, in the words of the prime minister, is the
 biggest step in economic policy making in britain since world war two. but every major economic decision taken by the government since the election is designed, whether deliberately or not, to increase unemployment.",Unrelated,2
1756,1763,7/6/2012,Conservative,Conservative,Mark Hoban,"to clarify, let me point out that the financial conduct authority is not part of the bank of england; it is an independent body. failure to understand that is a mistake that the hon. friend ™s greater knowledge of this matter.",Unrelated,2
1218,1225,12/21/1999,Conservative,Conservative,Mr. St. Aubyn,"they have offered the bank of england pseudo-independence, not real independence.  what is independent and what is long-term about a situation in which the average tenure of any member of the monetary policy committee is only 18 months? members are appointed on a phased basis for three years, so at any moment their average term of tenure is only 18 months.",Pro-independence,1
500,503,4/20/1994,Conservative,Conservative,Mr. Portillo," we have already set about publishing the monthly monetary report, and we have made the bank of england independent to the point that it is able to decide the timing of interest rate changes. we have made clear to the world the indicators which we will take into account before we make decisions on monetary policy. the recent impact on consumer confidence has been based not on actual experience of what tax rises are likely to bring, but on press reports and media speculation.",Pro-independence,1
834,838,4/6/1998,Conservative,Conservative,Mr. Redwood,"we did not tax manufacturing as this government are; we did not try to wreck manufacturing by introducing an independent bank of england, and fiscal policies of the kind introduced by this government. as the right hon. gentleman has mentioned the bank of england, perhaps he will tell us whether he thinks that the present government's policy of independence would be reversed if there were ever another tory government.",Anti-independence,0
1564,1571,10/11/2007,Conservative,Conservative,William Cash,"how will he resolve that question? in the last three months, we have had a credit bust, which was very visible with a run on a leading mortgage bank, and people now have great difficulty in getting access to the mortgages they might need.if the government are serious about wanting people to be able to buy homes, they must first of all look at their lurch from boom to bust in the credit market, and they have to get the credit and mortgage markets going again. through the chancellor, they need to have conversations with the bank of england about why there was such a catastrophe in britain   worse than anywhere else in the world   over the summer, and about how they can secure sufficient liquidity for the banking system again, with an interest rate structure that makes sense.during that period, the famous, so-called independent bank of england has turned out not to be independent at all, as some of us always suspected.",Unrelated,2
109,110,6/15/1990,Conservative,Conservative,Mr. Forman,"increasingly in the modern world the real core of power is passing from this house to    as the independent central bank has been so spectacularly successful in germany, and as a similar mechaism is now proposed for the european community, why are the government, who are anxious to counter inflation, so timid about the suggestion? it cannot be true that business is better off from paying less tax and that the tax yield is greater.",Pro-independence,1
1940,1948,9/7/2022,Conservative Party,Conservative,Mel Stride,"friend the former chancellor has said at the government dispatch box on occasion in the past,  if we take a 20-year view of the bank of england ™s performance, it has actually been spot-on at about  2%. perhaps i can leave this debate with the thought that we must guard the independence of the bank of england. naturally, there has been criticism of the bank of england, given the level of inflation and its inflation target, but among that criticism there have been reports that some in government, including perhaps one member of the cabinet, have been suggesting that the independence of the bank of england should be removed.",Pro-independence,1
748,752,11/11/1997,Conservative,Conservative,Mr. Gibb,"i acknowledge that. the harvard institute of economic research showed, for example, that countries with central banks with the most independence   switzerland, germany and the usa   had an average inflation rate of less than 4 per cent. between 1951 and 1988.",Pro-independence,1
1079,1086,3/11/1999,Conservative,Conservative,Mr. Tyrie,"they made a bit of a botched job of it, although it seems that they are getting away with it. we are leaving behind the instability   the boom and bust   that plagued businesses, individuals, and families in the past. we took the tough decision to make the bank of england independent: a decision opposed by the conservative party.",Pro-independence,1
1714,1721,4/26/2011,Conservative,Conservative,Matthew Hancock,"over many years, evidence grew in the academic economic debate that economic policy is best set for the long term, and the short-term dash for growth became discredited. in the  ™80s and  ™90s a consensus grew that fiscal policy should be set for the long term, and that monetary policy should be set through an independent bank of england and used to regulate demand in the shorter term   to keep inflation low and growth going. in fact, that became the cross-party consensus in the house.",Pro-independence,1
789,793,1/22/1998,Conservative,Conservative,Mr. Quentin Davies,"as a result of one of the salient changes, almost every civilised country now has an independent central bank. it would be an enormous liability for our country if, of the major currencies of the world, only sterling was managed in such a way that it was seen to be subject to extraneous party political or electoral pressures. i believe that that is the price of the government having been extremely indecisive about, for example, what we are doing about monetary union.",Pro-independence,1
763,767,11/11/1997,Conservative,Conservative,Mr. Gibb," the late lord ridley, in his autobiography, opposed an independent bank of england, writing:
 for what purpose would they use interest rate policy? in order to try to secure an artificial exchange rate, or to control the domestic money supply?  what is the government's strategy, and can the bank of england be so trusted?",Anti-independence,0
37,38,2/19/1987,Conservative,Conservative,Mr. Stewart,"it seems that the advisory functions of the independent members will greatly strengthen the system and will be of great value to the bank of england. i am sure that the bank will not lightly disregard the comments of the independent members either about specific matters of supervision or more general questions, such as those which my hon. i beg to move amendment no.",Unrelated,2
1886,1894,10/24/2022,Conservative Party,Conservative,Andrew Griffith,"the second departmental request relates to capital funding for the bank of england. since 2009, the asset purchase facility, a subsidiary entity of the bank of england, has been a policy tool of the independent monetary policy committee. the apf supported the mpc ™s objective of stimulating the economy to try to keep inflation at its 2% target.",Unrelated,2
1009,1014,11/18/1998,Conservative,Conservative,Mr. Loughton,"one of the recommendations of the select committee on environmental audit was to set up a green-tax commission. the government have gone the route of a monetary policy committee and independence, in certain terms, for the bank of england. surely a green-tax commission that is independent of political interference could bring some benefits.",Pro-independence,1
274,276,11/18/1992,Conservative,Conservative,Mr. Richard Spring,"members place upon debate and parliamentary scrutiny, there might be concern that an independent bank of england would be unaccountable. there is clearly a difficulty, with a tension between parliamentary sovereignty and central bank independence. that needs to be addressed.",Anti-independence,0
1308,1315,11/13/2001,Conservative,Conservative,Theresa May,perhaps the hon. we also need stability in the economy. most rational politicians think that an independent bank of england and inflation target are useful contributors to a stable economy.we need stability of pension rules.,Pro-independence,1
465,468,1/28/1994,Conservative,Conservative,Mr. Quentin Davies,"for reasons that i fully understand, my hon. friend sets out the possibility of a parliamentary override of the monetary policy being pursued by an independent bank of england. i understand the strong reasons for democratic accountability and the sovereignty of parliament that will cause many hon.",Anti-independence,0
381,383,5/4/1993,Conservative,Conservative,Mr. Quentin Davies,"such decisions can be announced to the world only when they have effectively been taken.  it is not good enough to quote article 2 as the bible of the treaty when its provisions are overridden and swept aside by the much tighter, more specific constraints in article 3a. the policeman of this monetary regime, the independent european central bank, has its independence uncompromisingly spelt out in article 107.",Unrelated,2
1822,1830,6/16/2015,Conservative,Conservative,George Osborne,"the priority of the british government is clear: the best outcome for the uk economy is that we achieve major economic reform of the european union for the benefit of britain and for the whole of europe. that is why the prime minister and the rest of the government are now fighting hard to achieve that, and we are confident we will succeed. the bank of england may be operationally independent, but does the chancellor agree that parliament and the treasury committee are likely to see the bank as having a duty to share its thinking, at least as far as it affects its statutory objectives of monetary and financial stability, on the impact of the uk ™s membership of the eu?",Unrelated,2
1543,1550,3/26/2007,Conservative,Conservative,Peter Luff,"the third reason is the decision not to join the euro. i salute the chancellor for making the latter two decisions, which were positive, if one can call a decision not to join something positive. if i were chancellor, and the bank of england were not independent, i might have tried to use my influence to persuade it not to remove elgar from the Â£20 note in the year of the 150th anniversary of his birth, but that is another matter.sadly, all the chancellor's other decisions have worked to undermine our competitiveness.",Unrelated,2
1742,1749,3/21/2012,Conservative,Conservative,George Osborne,"the government ™s credible and responsible fiscal policy allows the independent central bank to pursue an activist monetary policy consistent with targeting low inflation. i confirm that the asset purchase facility will remain in place for the coming year.employment is growing, and inflation is coming down; so too is the deficit. in the short time available to me, i would like to speak directly to the point of monetary activism, which is one of the budget ™s key pillars.",Pro-independence,1
1720,1727,6/22/2011,Conservative,Conservative,George Osborne,"on bank of england independence, he has completely written out of the script the then prime minister and chancellor. he now takes sole credit for keeping britain out of the euro, although, as far as i am aware   i am happy to take an intervention   the labour party ™s official policy is still that we join the euro in principle. lady will know that long-term interest rates hit an all-time low shortly after we made the bank of england independent.",Pro-independence,1
507,511,1/17/1995,Conservative,Conservative,Mr. Davies,we will achieve at least some of the benefits that countries with independent central banks have enjoyed as a consequence of the greater credibility with which they conduct and pursue sustained and consistent monetary policy.  i give particular credit to my right hon.  i do not agree with some hon.,Pro-independence,1
1764,1771,7/6/2012,Conservative,Conservative,Brandon Lewis,"as was said earlier, we in the house know that the integrity of members of select committees is strong enough and powerful enough to deal with that properly, but what matters is not necessarily what we in the house think on the role of the governor of the bank of england, but what people outside think, and what the markets think. it is the perception that becomes the reality, and we need the markets to have confidence and faith in the governor and in his ability and independence, which the house can scrutinise.why stop with the governor the bank of england? the bill ™s purported aim is to preserve the governor ™s independence; to remove the appointment from political considerations and pressures.",Pro-independence,1
1945,1953,5/26/2022,Conservative Party,Conservative,Rishi Sunak,"since control of monetary policy was taken out of the hands of politicians 25 years ago, inflation has averaged precisely 2%. it is right that the bank of england is independent, and i know that the governor and his team will take decisive action to get inflation back on target and ensure that inflation expectations remain firmly anchored. secondly, we need responsible fiscal policy.",Pro-independence,1
1624,1631,10/14/2008,Conservative,Conservative,George Osborne,"there is no point having an independent central bank if at the moment we get any kind of trouble we suspend the remit or change the target. no independent central bank in the world would last if that were the case. the target set by the government includes not just an inflation target but a responsibility on financial stability, and as last week's decision by the governor demonstrated, he is perfectly capable of taking into consideration broader issues of financial stability as well as his inflation target remit.",Pro-independence,1
1473,1480,5/17/2005,Conservative,Conservative,Andrew Robathan,"i was ambivalent at the time, but i applaud the chancellor's decision eight years ago to give independence to the bank of england. whatever we say, there are improvements in hospitals. he was harsh on the prime minister and i certainly share his harsh analysis of the prime minister's record.",Pro-independence,1
320,322,3/24/1993,Conservative,Conservative,Mr. Malcolm Bruce," the treaty is about trying to take a step forward to build mechanisms, which will have to evolve as the community has evolved since its inception. it is no secret to the committee that my party has long argued the case for an independent central bank for the united kingdom, and not only for the european community as it develops. i should like to say why we think that an independent central bank is desirable   i stress ""independent"" rather than ""unaccountable"".",Pro-independence,1
1935,1943,5/12/2022,Conservative Party,Conservative,Liam Fox,"either way, it is a wholly unacceptable position. we must retain fiscal discipline; otherwise the problem will get worse rather than better. on monetary policy, the chancellor mentioned the independence of the bank of england decision, which has just been announced, but there is some chatter about working in tandem with the bank.",Pro-independence,1
437,440,1/28/1994,Conservative,Conservative,Peter Tapsell,"that is precisely what the independent bank of england under montagu norman did during the 1920s by its obsession with the gold standard and maintaining sterling at an overpriced parity against the united states dollar. montagu norman, the governor of the day, took the view that the consequent unemployment was no responsibility of his.  i hope that my hon.",Unrelated,2
1854,1862,3/8/2017,Conservative,Conservative,John Redwood,"i am delighted that the treasury has now largely backed those more sensible forecasts.however, we need to ask why the treasury, the office for budget responsibility, the bank of england and many other independent forecasters got the forecasts so comprehensively wrong in the summer of 2016, and why the autumn statement forecasts were still so wrong at the end of last year. i wonder whether we need some efficiency improvements in their economic forecasting departments. gentleman misstates the position.",Unrelated,2
1946,1954,2/3/2022,Conservative Party,Conservative,Rishi Sunak,"1 issue on people ™s minds is the rising cost of living. it is the independent bank of england ™s role to deliver low and stable inflation, and the governor will set out its judgments at midday today. just as the government stood behind the british people through the pandemic, so we will help people deal with one of the biggest costs they now face: energy.",Pro-independence,1
175,176,5/15/1991,Conservative,Conservative,Mr. Budgen," may i say a few words about what the popular papers describe as a dispute between the governor of the bank of england and the chancellor of the exchequer about reducing interest rates? i am one of those who would wish greater independence to be exercised by the governor of the bank of england, but not because i want this country to go into any form of euro-bank.  i want this country to return to a freely floating exchange rate.",Pro-independence,1
892,897,7/16/1998,Conservative,Conservative,Michael Spicer,"that will result in a conflict of policy for the government, with inevitable implications for affordability. we accept that it is a necessary precondition for a good investment climate. we welcomed the government's decision to give operational independence to the bank of england as a step towards achieving such a climate   we naturally welcomed that measure, as it is our policy.",Pro-independence,1
1566,1573,11/6/2007,Conservative,Conservative,John Redwood,"i am not sure that the chancellor's interventions during the past few weeks have been at all helpful. although we welcome the broader review of the future of the tripartite arrangements, let him tell us when he and the prime minister will take a decision on the reappointment of the governor of the bank of england. dangling the sword of damocles over mervyn king while allowing officials in the treasury and downing street to brief against him may satisfy the vanity of the chancellor and the prime minister, but it does nothing to restore confidence in the independence of the bank of england.",Unrelated,2
