id,date_short,party,name,sents,party_2,results_1,results_number,results_2
0,33213,Conservative,Mr. Cash,"it eats itself up like monty python. there can be no objection if such developments put money into their pockets, give them freedom of choice, and encourage a greater propensity to save than to spend. if from that we can develop statutes for an independent central bank and provide our currency with stability for the future, that would be another great step forward.",Conservative,Pro-independence,1,Pro-independence
1,41096,Conservative,Matthew Hancock,"the funding for lending scheme and the liquidity scheme, which i think is one of the most vital elements of our economic recovery, are a joint matter involving use of the treasury™s balance sheet and the indemnity for the bank of england, and bank of england action in the markets, both between banks and in the context of the wider availability of debt. that is a clear indication of the requirement for not just operational independence, but a common strategy between the governor of the bank and the government of the day.allowing banks to borrow from the bank of england in order to lend directly into the real economy means having to ensure that the high rates paid by one bank to another because of the insecurity of, ultimately, their creditworthiness and the difficulty of accessing liquidity are not passed on to people who pay for mortgages or businesses that need to borrow to finance investment. many businesses that have taken advantage of opportunities, and many mortgagees who have bought houses, are capable of repaying a loan directly at a decent interest rate that is worth while to them, but a margin is added because the banks cannot lend to each other at decent rates that are almost free of risk.the involvement of the government in liquidity is nothing new.",Conservative,Unrelated,2,Pro-independence
2,27450,Conservative Party,Mr. Jenkin,whatever the outcome”and i should like the right hon. gentleman to be aware of this”the episode will have done lasting damage to the credibility and independence of the bank of england as a lender of last resort. i was about to make that point when my hon.,Conservative,Unrelated,2,Unrelated
3,34362,Conservative,Mr. Dorrell,i do not accept that argument. what is his feeling on the principle? do the government support moves towards an independent central bank?,Conservative,Unrelated,2,Unrelated
4,34757,Conservative,Mr. Bruce,"had the government moved to the position that we took at the time that we said, they would not have finished up in a mess.  [interruption.] what happened ” which also reinforces the case for a politically independent central bank ” was that lord lawson did the most damaging thing that any government could do: he joined the exchange rate mechanism at the worst possible moment, at the worst possible exchange rate and for the worst possible reason, which was to obtain a standing ovation at the conservative party conference the next day. that is no way to run the economy and, sadly, the government have failed to recognise that a commitment to a single currency ” even in principle, never mind with or without an opt-out ” requires an extremely rigorous economic policy, which the government have shown no real application to deliver.",Conservative,Pro-independence,1,Pro-independence
5,34052,Conservative,Mr. Dorrell,"i do not deny that the central bank is set up to be independent and that the provisions are designed to ensure its independence, and i shall discuss how accountability is to be delivered in the context of those independence provisions. when i asked the minister a question relating to article 109j(1), he said that there was no obligation for the united kingdom to move towards the independence of the central bank until the third stage. i draw his attention to article 109e(5), which clearly states:
 during the second stage, each member state shall, as appropriate, start the process leading to the independence of its central bank"".",Conservative,Unrelated,2,Unrelated
6,33563,Conservative,Mr. Lawson," the idea that we can have an independent european central bank alone, which would be far and away the most powerful institution in the community with no accountability to anybody, is absolutely bizarre and democratically unacceptable. one of the extraordinary oddities ” i put it no stronger than that ” of the opposition's position is that, with the enthusiasm of the convert, they have embraced the single currency and an independent european central bank, but they will not tolerate an independent bank of england. that is a very strange position for any party, even the labour party, to adopt.",Conservative,Anti-independence,0,Anti-independence
7,31744,Conservative,Mr. Stewart," although in some countries banking supervision is conducted by bodies independent of the central bank and the government, international practice varies widely and it is clear that each country should make the arrangements most suited to its circumstances. for many years before the 1979 act, the bank of england was engaged in informal supervision and since 1979 this has been put on to a statutory basis. following the decision to establish an independent board to deal with other financial activities, the government considered whether it would be sensible to establish a separate supervisory body for the banking sector.",Conservative,Unrelated,2,Unrelated
8,34362,Conservative,Mr. Quentin Davies,"if parliament continually changes the indices that it is targeting, that in itself will undermine the policy's stability and credibility.  it is far better that parliament establishes that an independent bank of england has a responsibility to maintain price stability. it is then up to the bank to defend its achievement of that objective ” to defend it in the markets, to public opinion, to the house, to the treasury and to the treasury select committee or to any other select committee to which the bank will, from time to time, have to give an account of itself under the bill.",Conservative,Pro-independence,1,Pro-independence
9,44845,Conservative Party,Kwasi Kwarteng,"the obr will be fully scoring and giving a forecast ahead of the medium-term fiscal plan. i speak very frequently to the governor of the bank of england, who is absolutely independent and is very effectively managing what is a global situation. the governor of the bank of england is entirely independent.",Conservative,Pro-independence,1,Pro-independence
