id	text	majortopic
1	Peeping Toms	2
2	Police Officer Praised For Car Struggle	2
3	Broadmoor Escape Inquiry Urged	2
4	Police Interview Provost No Action Under Local Government ACT	2
5	Molotov's Private Thoughts On Germany Free Elections-if the Resultant Government is Agreed on Beforehand	0
6	Not Likely To Retaliate Claim By Boycott Movement	0
7	Labour Agreement On Form Of Apartheid Boycott	0
8	B.B.C. Takes A New Broom To Music	0
9	October 16 Meeting With French Ministers Nasser's Policies were Provoking Israel Beyond Endurance	0
10	Coroner's Question On Tonnage Pay For Barton Bridge Men Evidence On Bracing For Girders	2
11	Anglo-U.S. Satellite Will Go 600 Miles High Data To Be Analysed In Britain	0
12	Murder Weapon Believed Found	2
13	Boycott Of Irish Goods Suggested To Halt Horse Trade	0
14	Stabbing By Woman Was Manslaughter 5 Years For Killing Man After Party	2
15	Intruder With Knife Gets Five Years	2
16	Unfair Granada Claim To Have Been Objective	0
17	Colour Television Deal With E. Germans British Firm's Sale	0
18	Charge Of Wounding Woman At Farm	2
19	Trials Rattle Interrupts Proceedings	2
20	$2M. U.S. Grant For West Indies	0
21	Theft Victim To Quit Council House	2
22	War On Want Aims Of New U.N. Agency	0
23	Under-Developed' Britain Lord Hailsham On 250 Years Of Change	1
24	February Rise In Employment Total Up By 21,000 To 23,338,000	1
25	Too Many And Too Small Mr. Thomson's View Of Newspapers	0
26	Dr. Ramsey Leaves For Central Africa	0
27	Break Traced In Ocean Cable Repair Hampered By Bad Weather	0
28	Trade Mission From Colombia	0
29	STEEL-Spring report to the Nation The battle for exports: Steelmen optimistic	1
30	Strong Case' For Decimal Coinage Call For Early Decision By The Government	1
31	Will Rule World Duke On The Biggest Education Need	0
32	Western Nigerian Premier Angry Expel South Africa From Commonwealth	0
33	In Prison Pending Extradition	2
34	Mayor Of Madrid In London Son Engaged To Sussex Girl	0
35	Trade Talks At Lisbon U.K. Attitude Will Be Forthcoming	0
36	Mr. Watkinson For Canada And U.S. Defence Discussions	0
37	The Rising Sun Rises With The Sun Built In 12 Hours	0
38	Electronic Tax Assessment? Tenders Out For Computer Soon	1
39	Man Loses Civil Defence Claim No Right In Law To Sue Council	2
40	Minister Calls For U.S. Sales Drive Trade Too Concentrated On Cars And Whisky	0
41	Dorset Search For Missing Mother	2
42	Record Number In Work Last Year Short-Time Reduced	1
43	Grants To The Arts And Sciences Help From Southern Television	0
44	Odhams Deny Report About 'Daily Herald Approach Made To T.U.C. On Policy	0
45	Europe's Trade Pacts Blamed President Frondizi On Discrimination	0
46	Museums Delegates Invited To Russia Conference Report	0
47	B.B.C. Field Sports Policy 'Unchanged Reply To Society's Claim	0
48	Cultural Exchange With Spain Convention Signed In London	0
49	King And Queen Of Siam Begin State Visit Gift Of 400lb. Teak Elephant	0
50	British Sense Of Fair Play Praised By Royal Visitor The Queen Speaks At State Banquet Of Closer Ties	0
51	Great International Gathering The Queen's Gift Of A Silver Bell To Mark Tercentenary	0
52	Negotiations To Link Two Newspapers Manchester Plan For New Company	0
53	500 Schemes For World Health From D.D.T.	0
54	?1,000 Goods Found In Cave, Say Police Man Tells Court: 'Purely Circumstantial	2
55	Prison, Not Borstal, For Youth Left With No Option, Says Chairman	2
56	Polythene Bag Across Face Killed Baby	2
57	U.N. Chief In Talks With Belgians Return To Congo Postponed	0
58	Mystery Of Stone That Killed Girl Cheddar Gorge Man Not At Inquest	2
59	Claustrophobia At Supersonic Speed Windowless Airliner	0
60	Great Future' For 'Daily Herald Scope Of Paper To Be Enlarged	0
61	Not Completed Coroner's Statement At Liverpool Inquest On 11	2
62	Threat To Bank Cashier Man Demands Money	2
63	Inspection Law Urged By Fire Jury Enforce Drills	2
64	Gaps In Important Fields Of Research Science Advisory Council's Plea To Industry	0
65	New Welsh T.V. Service Plan B.B.C. Urge Network Of Six Stations	0
66	Differences Between German And British Reports	0
67	Stole Duchess Of Windsor's ?20,000 Jewels Man Admits ?89,739 Thefts In 20 Years	2
68	Display Of Books On Science Tercentenary Of The Royal Society	0
69	Graftsmen End Ban On Anglo-Indian	0
70	No Reprieve For Two Youths Mother Appeals To The Queen	2
71	Missing Girl: Police Alert In Lancashire	2
72	Belfast Newspaper Shares Offer Approaches First Made On September 15	0
73	New B.B.C. Director Of Television Mr. Kenneth Adam Looks To Future	0
74	International Tv Unit Formed	0
75	House-To-House Inquiry In Girl Murder Hunt	2
76	Public Inquiry Urged Over Dismissed Scientist Disproportionate Penalty, Says Civil Servants' Body	0
77	Spur Departure Of Oxford Prison Appeal For Site At Roads Inquiry	2
78	Wider Legislation On Children Mr. Butler's Talks On Ingleby Proposals	2
79	Promoting Periodicals Overseas 128 Titles In Pilot Scheme	0
80	U.N. Security Council Seat Compromise Liberia And Ireland	0
81	Christmas Eve Murder Old Man Strangled	2
82	Found Asleep In Car After Gaol Escape	2
83	Glee Singers In U.S. Embassy	0
84	Police Question Villagers Girl's Murder In Lane	2
85	Indian Salvage Crew Regarded As Lost Search Abandoned	0
86	About Africa Mr. Macleod On Checks To Clear Thinking	0
87	Fact-Finding Teams For Europe Export Council Move	0
88	Mine Detector Search For Murder Weapon	2
89	Film And T.V. Men Urge Strike Demand For Inquiry Into Studio Sale	0
90	Chain Plotting Of Satellites Minitrack Station Ready	0
91	Rise For 100,000 In Grocery Shops Working Week Cut	2
92	Reducing Tariff Barriers Mr. Maudling's Hopes Of Gatt Talks	0
93	?4,000-An-Hour Television B.B.C. Service Cost ?15M. Last Year	0
94	Statements Made By Prisoners It's A Cop, Guv	2
95	Devilish Cruelty To Small Children	2
96	Used To Tough Assignments In U.S.	0
97	New Rate Burdens Hit Research Relief Rejected For Scientific Bodies	0
98	?1,100 For Police Sergeants Back Dated To Last September	2
99	Last Prisoner Recaptured	2
100	Dollar Rector 'Was Justified Witnesses' Support For Mr. Bell	2
101	Government Resist Move To Raise Age For Hanging	2
102	Tv Restriction On Detergent Comparisons Marginal Differences	0
103	Cane At Detention Centres Sought No Demand By Staffs	2
104	Mr. King Opens New 'Mirror' Building	0
105	Pall Mall Safe Deposit Sold	2
106	Builder Cross-Examined On Alleged Slander	2
107	Wife's Death After Hair Change Husband Did Not Like Colour	2
108	Praise For Man On The Beat Of Good Relations	2
109	To Raider Wanted To Get Rid Of Man At All Costs	2
110	Disturbs Sleep Objections By Flat Owners	2
111	Three Accused Of Starting Fire	2
112	Twelve Months For Steel Thefts Over 1,000 Tons Said To Be Involved	2
113	Decision On Barrister Councillors Reversed	2
114	A Den Of Hooliganism Carriages Badly Damaged	2
115	Jekyll And Hyde Plea In Defence	2
116	Fines For The Sit Down Protesters Incidents In Savile Row	2
117	Chairman Thinks Marchers Were Overcharged	2
118	New Broadcasting Committee	0
119	Renewed Efforts To Restore Corporal Punishment Conservative Pressure Group Muster 69 In Favour	2
120	Scottish Fears On Payroll Tax Firms Already Hit By Higher Rates	1
121	American History In A West Country Manor Period Rooms Shipped Across Atlantic	0
122	Petition Against Hanging	2
123	Avoiding Press Sensationalism Mr. Butler Seeks Cooperation	0
124	D.S.I.R. Council's New Chairman	0
125	News Of The World Buy Vactric Firms	0
126	Judge Lets Action Be Continued	2
127	Inns Of Court Calls To The Bar	2
128	Reconstitution Of Newspaper Board	0
129	Tibetans For New Pestalozzi Village At Sedlescombe	0
130	Finnish President Talks With Mr. Macmillan	0
131	?5,262 From Illegal Operations	2
